ClientIP,URL,TimeStamp,IsUrlBlocked
127.0.0.1,http://adit.ac.in/assets/css/image_grid.css,2023-10-27 23:13:41.817341,False
127.0.0.1,http://adit.ac.in/assets/css/style.css,2023-10-27 23:13:41.815347,False
127.0.0.1,http://adit.ac.in/assets/css/icomoon.css,2023-10-27 23:13:41.815347,False
127.0.0.1,http://adit.ac.in/assets/css/calander.css,2023-10-27 23:13:41.817341,False
127.0.0.1,cdnjs.cloudflare.com:443,2023-10-27 23:13:41.825322,False
127.0.0.1,http://adit.ac.in/assets/css/faculty.css,2023-10-27 23:13:41.960582,False
127.0.0.1,http://adit.ac.in/assets/css/testimonial.css,2023-10-27 23:13:41.959583,False
127.0.0.1,http://adit.ac.in/assets/css/font-awesome.min.css,2023-10-27 23:13:41.939303,False
127.0.0.1,http://adit.ac.in/assets/css/ribbion.css,2023-10-27 23:13:42.078523,False
127.0.0.1,http://adit.ac.in/assets/css/department.css,2023-10-27 23:13:42.078523,False
127.0.0.1,http://adit.ac.in/assets/css/responsive.css,2023-10-27 23:13:42.078523,False
127.0.0.1,http://adit.ac.in/assets/css/footer.css,2023-10-27 23:13:42.135937,False
127.0.0.1,http://adit.ac.in/assets/css/menu1.css,2023-10-27 23:13:42.135937,False
127.0.0.1,http://adit.ac.in/assets/css/popup.css,2023-10-27 23:13:42.181979,False
127.0.0.1,http://adit.ac.in/assets/js/swiper.min.js,2023-10-27 23:13:42.225832,False
127.0.0.1,http://adit.ac.in/assets/js/cities.js,2023-10-27 23:13:42.225832,False
127.0.0.1,http://adit.ac.in/assets/images/logo3_new.png,2023-10-27 23:13:42.315580,False
127.0.0.1,http://adit.ac.in/assets/images/mobile_logo.png,2023-10-27 23:13:42.315580,False
127.0.0.1,cdnjs.cloudflare.com:443,2023-10-27 23:13:42.557697,False
127.0.0.1,http://adit.ac.in/assets/images/webinar.png,2023-10-27 23:13:42.597285,False
127.0.0.1,cdn.jsdelivr.net:443,2023-10-27 23:13:42.596287,False
127.0.0.1,http://adit.ac.in/assets/images/chairman.jpg,2023-10-27 23:13:42.597285,False
127.0.0.1,http://adit.ac.in/assets/images/nptel.png,2023-10-27 23:13:42.597285,False
127.0.0.1,http://adit.ac.in/assets/js/validation.js,2023-10-27 23:13:42.595290,False
127.0.0.1,http://i.ytimg.com/vi/OMPRP3Lb0z8/hqdefault.jpg,2023-10-27 23:13:42.626315,False
127.0.0.1,http://adit.ac.in/assets/fonts/icomoon/icomoon.ttf?6iuir,2023-10-27 23:13:42.735670,False
127.0.0.1,http://adit.ac.in/assets/fonts/fontawesome-webfont.woff2?v=4.7.0,2023-10-27 23:13:42.736667,False
127.0.0.1,http://adit.ac.in/assets/images/slider/racecar.jpg,2023-10-27 23:13:42.773576,False
127.0.0.1,http://adit.ac.in/assets/images/slider/hackathon2023mech.jpg,2023-10-27 23:13:42.771581,False
127.0.0.1,www.youtube.com:443,2023-10-27 23:13:42.774573,False
127.0.0.1,http://adit.ac.in/assets/images/faculty/85.jpg,2023-10-27 23:13:42.759613,False
127.0.0.1,http://adit.ac.in/assets/images/slider/slidermakerfest.jpeg,2023-10-27 23:13:42.803496,False
127.0.0.1,http://adit.ac.in/assets/images/back/red.png,2023-10-27 23:13:42.883282,False
127.0.0.1,http://adit.ac.in/assets/css/SourceSansPro-Light.ttf,2023-10-27 23:13:42.947928,False
127.0.0.1,www.youtube.com:443,2023-10-27 23:13:42.933965,False
127.0.0.1,www.youtube.com:443,2023-10-27 23:13:42.933965,False
127.0.0.1,http://adit.ac.in/assets/images/slider/jaipurhackaton2023.jpg,2023-10-27 23:13:43.046664,False
127.0.0.1,http://adit.ac.in/assets/images/slider/autoachievement.jpg,2023-10-27 23:13:43.036697,False
127.0.0.1,http://adit.ac.in/assets/images/slider/hackathon2023.jpeg,2023-10-27 23:13:43.114945,False
127.0.0.1,http://adit.ac.in/assets/fonts/fontawesome-webfont.woff?v=4.7.0,2023-10-27 23:13:43.236960,False
127.0.0.1,http://adit.ac.in/assets/images/slider/skill_india.jpg,2023-10-27 23:13:43.313249,False
127.0.0.1,http://adit.ac.in/assets/images/hackathonchairman.jpg,2023-10-27 23:13:43.343506,False
127.0.0.1,http://adit.ac.in/assets/images/slider/GSIRFRANKING.png,2023-10-27 23:13:43.335207,False
127.0.0.1,http://adit.ac.in/assets/images/news/automobileimg.jpg,2023-10-27 23:13:43.398224,False
127.0.0.1,http://adit.ac.in/assets/images/slider/ICE22.jpg,2023-10-27 23:13:43.398224,False
127.0.0.1,http://adit.ac.in/assets/fonts/fontawesome-webfont.ttf?v=4.7.0,2023-10-27 23:13:43.606184,False
127.0.0.1,http://adit.ac.in/assets/images/slider/slider7.jpg,2023-10-27 23:13:43.696051,False
127.0.0.1,http://adit.ac.in/assets/images/slider/idealab.jpeg,2023-10-27 23:13:43.698046,False
127.0.0.1,http://adit.ac.in/assets/images/slider/mghactor.jpg,2023-10-27 23:13:43.699044,False
127.0.0.1,http://adit.ac.in/assets/images/slider/nba.jpg,2023-10-27 23:13:43.807618,False
127.0.0.1,http://adit.ac.in/assets/images/slider/gsirf1.png,2023-10-27 23:13:43.854626,False
127.0.0.1,http://adit.ac.in/assets/images/slider/slider_4star.jpg,2023-10-27 23:13:43.877250,False
127.0.0.1,http://adit.ac.in/assets/images/slider/rank1.jpeg,2023-10-27 23:13:44.154946,False
127.0.0.1,http://adit.ac.in/assets/images/slider/robocon2022.jpg,2023-10-27 23:13:44.158932,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/rajeev.jpg,2023-10-27 23:13:44.216132,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/kuber.jpg,2023-10-27 23:13:44.248670,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/exibishion.jpg,2023-10-27 23:13:44.450033,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/nagrajan.jpg,2023-10-27 23:13:44.473958,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/haider.jpg,2023-10-27 23:13:44.599567,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p12.jpeg,2023-10-27 23:13:44.627250,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p14.jpeg,2023-10-27 23:13:44.622261,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p11.jpeg,2023-10-27 23:13:44.707519,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p5.jpg,2023-10-27 23:13:44.862145,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p4.jpg,2023-10-27 23:13:45.158596,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p1.jpg,2023-10-27 23:13:45.169562,False
127.0.0.1,http://adit.ac.in/assets/images/visit_ppl/p3.jpg,2023-10-27 23:13:45.498237,False
127.0.0.1,http://adit.ac.in/assets/images/news/14102023.jpeg,2023-10-27 23:13:45.695248,False
127.0.0.1,http://adit.ac.in/assets/images/news/23092023.jpg,2023-10-27 23:13:45.699236,False
127.0.0.1,http://adit.ac.in/assets/images/news/placement1.jpg,2023-10-27 23:13:45.709558,False
127.0.0.1,http://adit.ac.in/assets/images/news/turnament23.jpg,2023-10-27 23:13:45.736025,False
127.0.0.1,http://adit.ac.in/assets/images/news/devangmehta23.jpg,2023-10-27 23:13:46.002200,False
127.0.0.1,http://adit.ac.in/assets/images/cvmlogovideo.png,2023-10-27 23:13:46.215818,False
127.0.0.1,http://adit.ac.in/assets/images/testimonial/testimonial5.jpg,2023-10-27 23:13:46.314384,False
127.0.0.1,http://adit.ac.in/assets/images/testimonial/testimonial4.jpg,2023-10-27 23:13:46.335937,False
127.0.0.1,http://adit.ac.in/assets/images/testimonial/testimonial1.jpg,2023-10-27 23:13:46.336934,False
127.0.0.1,http://adit.ac.in/assets/images/testimonial/testimonial2.jpg,2023-10-27 23:13:46.423473,False
127.0.0.1,http://adit.ac.in/assets/images/testimonial/testimonial3.jpg,2023-10-27 23:13:46.430455,False
127.0.0.1,http://adit.ac.in/assets/images/playbtn.png,2023-10-27 23:13:46.493783,False
127.0.0.1,http://adit.ac.in/assets/images/adit.png,2023-10-27 23:13:46.784609,False
127.0.0.1,http://www.weapons-universe.com/,2023-10-27 23:13:59.517831,True
127.0.0.1,http://www.weapons-universe.com/favicon.ico,2023-10-27 23:13:59.616662,True
127.0.0.1,mobile.events.data.microsoft.com:443,2023-10-27 23:14:37.395879,False
127.0.0.1,mobile.events.data.microsoft.com:443,2023-10-27 23:14:40.216514,False
127.0.0.1,http://www.unipune.ac.in/,2023-10-27 23:14:41.558218,False
127.0.0.1,code.jquery.com:443,2023-10-27 23:14:41.972601,False
127.0.0.1,http://www.unipune.ac.in/uop_files/css/main.css,2023-10-27 23:14:41.966577,False
127.0.0.1,http://unipune.ac.in/uop_files/jquery.min.js?ver=1.3.2,2023-10-27 23:14:41.973558,False
127.0.0.1,http://www.unipune.ac.in/uop_files/css/scroller.css,2023-10-27 23:14:41.962498,False
127.0.0.1,http://www.unipune.ac.in/uop_files/css/style.css,2023-10-27 23:14:41.966577,False
127.0.0.1,http://www.unipune.ac.in/uop_files/css/tabbed_styles.css,2023-10-27 23:14:41.965334,False
127.0.0.1,http://www.unipune.ac.in/uop_files/js/stscode.js,2023-10-27 23:14:41.967574,False
